Občina,Leto,PM10 (µg/m³),PM2.5 (µg/m³),Ozon (µg/m³),Žveplov dioksid (µg/m³),Dušikov dioksid (µg/m³),Ogljikov monoksid (µg/m³)
Braslovče,2020,16.183,12.15,46.07,1.657,10.496,174.808
Braslovče,2021,17.513,12.474,56.142,1.523,10.532,227.134
Braslovče,2022,17.644,14.181,63.543,1.582,6.881,158.588
Braslovče,2023,16.639,13.089,63.01,1.375,7.555,194.229
Braslovče,2024,13.557,11.089,63.188,0.411,4.551,179.383
Braslovče,2025,11.947,10.05,67.802,0.404,3.883,170.233
Brda,2020,16.214,11.854,59.293,1.267,11.515,183.886
Brda,2021,16.059,11.018,59.892,1.297,13.058,220.224
Brda,2022,15.615,12.193,60.336,1.257,8.238,171.939
Brda,2023,16.131,12.83,65.348,1.622,9.796,204.931
Brda,2024,13.645,11.103,68.71,0.57,5.624,185.279
Brda,2025,10.745,8.695,72.93,0.446,4.701,173.076
Brezovica,2020,18.582,14.741,51.793,1.636,13.611,201.02
Brezovica,2021,19.97,14.512,55.079,1.283,15.592,249.361
Brezovica,2022,21.902,18.372,58.372,1.62,10.905,188.272
Brezovica,2023,20.175,16.107,65.133,1.661,12.045,229.72
Brezovica,2024,18.99,16.132,58.001,0.703,8.958,214.943
Brezovica,2025,15.879,13.617,63.187,0.647,7.603,192.15
Brežice,2020,15.398,12.211,52.115,1.328,7.944,182.331
Brežice,2021,18.63,13.921,51.008,1.642,10.402,230.788
Brežice,2022,15.798,13.044,64.263,1.399,5.604,162.955
Brežice,2023,16.312,13.452,59.226,1.39,7.5,196.555
Brežice,2024,14.679,12.102,61.891,0.45,4.823,185.939
Brežice,2025,12.488,10.569,66.623,0.451,4.194,176.041
Cankova,2020,15.315,12.085,54.723,1.151,7.706,190.453
Cankova,2021,16.776,12.744,60.393,1.302,8.123,235.83
Cankova,2022,14.841,12.155,64.153,1.059,5.82,164.629
Cankova,2023,14.644,11.877,60.13,1.197,7.292,208.048
Cankova,2024,13.799,11.504,60.54,0.418,4.821,191.944
Cankova,2025,11.185,9.452,66.157,0.404,3.724,177.556
Celje,2020,18.435,13.28,44.37,1.894,12.192,182.078
Celje,2021,19.788,13.908,49.833,1.998,13.415,234.07
Celje,2022,17.861,14.654,63.306,1.519,7.007,164.07
Celje,2023,17.366,13.896,58.379,1.589,9.434,202.175
Celje,2024,15.29,12.59,61.074,0.638,5.973,188.579
Celje,2025,13.145,11.016,65.669,0.614,5.235,176.76
Cerklje na Gorenjskem,2020,14.751,11.557,62.568,1.241,8.923,172.87
Cerklje na Gorenjskem,2021,16.089,11.36,66.575,0.987,10.995,219.109
Cerklje na Gorenjskem,2022,17.119,13.731,61.274,1.128,8.483,163.664
Cerklje na Gorenjskem,2023,16.962,13.274,70.741,1.236,9.031,196.807
Cerklje na Gorenjskem,2024,13.558,11.033,63.15,0.442,5.917,179.731
Cerklje na Gorenjskem,2025,11.766,9.789,67.729,0.413,4.95,168.587
Cerknica,2020,10.035,7.558,67.035,0.821,4.163,154.921
Cerknica,2021,11.988,8.004,67.036,0.828,5.2,189.178
Cerknica,2022,11.413,8.761,70.711,1.144,3.191,138.559
Cerknica,2023,11.566,8.815,71.583,1.284,3.658,167.434
Cerknica,2024,9.655,7.328,70.136,0.334,1.83,154.304
Cerknica,2025,8.293,6.545,75.28,0.318,1.52,149.183
Cerkno,2020,11.851,8.857,64.647,0.847,5.955,153.32
Cerkno,2021,12.679,8.651,63.043,0.717,7.385,188.631
Cerkno,2022,12.429,9.303,66.465,0.836,4.345,141.631
Cerkno,2023,12.467,9.632,72.808,1.006,4.93,170.207
Cerkno,2024,9.981,7.884,69.89,0.295,2.534,156.848
Cerkno,2025,8.918,7.286,73.77,0.287,2.172,151.88
Cerkvenjak,2020,15.941,12.795,54.381,1.265,7.849,191.394
Cerkvenjak,2021,17.981,13.796,57.898,1.505,8.685,240.732
Cerkvenjak,2022,16.101,13.56,65.44,1.214,6.409,168.759
Cerkvenjak,2023,15.407,12.749,59.52,1.393,8.186,208.508
Cerkvenjak,2024,14.798,12.348,60.791,0.474,5.625,195.223
Cerkvenjak,2025,12.085,10.195,66.598,0.437,4.379,179.275
Domžale,2020,19.011,15.156,52.513,1.66,12.242,200.08
Domžale,2021,20.793,15.279,58.916,1.342,14.604,254.778
Domžale,2022,21.356,18.107,59.15,1.543,9.706,185.892
Domžale,2023,22.062,17.803,65.808,1.631,11.382,235.372
Domžale,2024,19.827,16.879,58.014,0.689,8.394,215.952
Domžale,2025,15.55,13.228,63.704,0.579,6.398,187.755
Dornava,2020,16.247,13.034,54.073,1.313,7.618,190.937
Dornava,2021,18.5,14.176,56.503,1.622,8.999,240.569
Dornava,2022,16.192,13.617,65.528,1.34,6.197,168.583
Dornava,2023,15.695,12.997,59.756,1.522,7.938,206.835
Dornava,2024,14.982,12.439,61.825,0.527,5.455,195.132
Dornava,2025,12.305,10.349,67.363,0.463,4.359,179.606
