Leto,Občina,Novi primeri pljučnega raka,Umrljivost zaradi pljučnega raka (0–74 let)
2020,Ajdovščina,65.15886105831194,32.4
2020,Ankaran,n,n
2020,Apače,73.19130625185606,59.63
2020,Beltinci,49.992345932990155,49.37
2020,Benedikt,46.681107041446495,47.61
2020,Bistrica ob Sotli,0,16.17
2020,Bled,91.19711653780229,55.49
2020,Bloke,88.58310200316153,64.01
2020,Bohinj,78.34605089679388,70.01
2020,Borovnica,47.50696713603583,4.91
2020,Bovec,47.71918301080193,6.3
2020,Braslovče,72.51905862028691,49.01
2020,Brda,42.53365787630112,29.64
2020,Brezovica,56.26403623891241,30.45
2020,Brežice,52.99899323713757,35.26
2020,Cankova,70.9196613067523,63.33
2020,Celje,66.05676085293526,40.68
2020,Cerklje na Gorenjskem,13.903442975237658,13.74
2020,Cerknica,51.12879749091054,30.98
2020,Cerkno,93.9067960488552,65.25
2020,Cerkvenjak,59.05135637875329,37.87
2020,Cirkulane,25.949568636868168,17.68
2020,Destrnik,96.80134878985832,41.86
2020,Divača,60.440399499915166,33.68
2020,Dobje,102.98001059767068,0
2020,Dobrepolje,95.56207236290614,67.9
2020,Dobrna,29.43375298991162,25.28
2020,Dobrova - Polhov Gradec,42.9671743871922,22.24
2020,Dobrovnik/Dobronak,10.1667472665953,0
2020,Dol pri Ljubljani,44.376928786505864,17.16
2020,Dolenjske Toplice,70.72521926289025,70.28
2020,Domžale,63.70896622818463,33.97
2020,Dornava,75.69716615019692,42.19
2020,Dravograd,58.45481094780439,19.61
2020,Duplek,75.33801209926554,42.21
2020,Gorenja vas - Poljane,50.95786332423394,21.08
2020,Gorišnica,25.989899805616467,33.49
2020,Gorje,52.01695971379252,21.87
2020,Gornja Radgona,48.17044421927733,41.28
2020,Gornji Grad,48.473049444509805,31.77
2020,Gornji Petrovci,34.78526840991353,14.91
2020,Grad,47.809194266593096,33.74
2020,Grosuplje,48.95447580675436,29.86
2020,Hajdina,69.87365697215341,43.51
2020,Hodoš/Hodos,39.88982358936517,74.72
2020,Horjul,53.436557524173836,26.61
2020,Hoče - Slivnica,66.94714823771217,47.57
2020,Hrastnik,99.22293257628263,67.07
2020,Hrpelje - Kozina,37.812995881183255,20.15
2020,Idrija,71.8021805553066,53.85
2020,Ig,67.43540921797131,37.47
2020,Ilirska Bistrica,42.40911548584798,19.54
2020,Ivančna Gorica,77.09366287857351,43.73
2020,Izola/Isola,88.71449127953676,57.37
2020,Jesenice,95.80750018169647,50.54
2020,Jezersko,0,0
2020,Juršinci,49.88259465433855,48.93
2020,Kamnik,56.45759981206831,28.6
2020,Kanal,63.92490931596858,33.21
2020,Kidričevo,66.271161678627,32.74
2020,Kobarid,36.085592189776634,37.02
2020,Kobilje,0,0
2020,Komen,96.15665818979772,29.05
2020,Komenda,33.6279104426018,9.49
2020,Koper/Capodistria,59.79207673838451,39.76
2020,Kostanjevica na Krki,66.28270333705177,73.06
2020,Kostel,77.07083005462886,22.12
2020,Kozje,76.57804770400001,36.74
2020,Kočevje,70.46568256093636,48.85
2020,Kranj,73.08781600225231,41.79
2020,Kranjska Gora,72.8398887135898,58.15
2020,Križevci,47.754683465295194,53.24
2020,Krško,49.449468469175756,27.05
2020,Kungota,57.3303442283698,27.41
2020,Kuzma,73.60908852428702,37.08
2020,Laško,42.1615957036329,35.53
2020,Lenart,33.14856685539649,38.98
2020,Lendava/Lendva,52.31098794357518,38.89
2020,Litija,75.01488269704913,35.32
2020,Ljubljana,75.80673703105221,44.1
2020,Ljubno,38.48196709885282,25.72
2020,Ljutomer,45.15763398934794,21.52
