NUTS_ID,2018,2019,2020,2021,2022,2023
SI031,114750,114380,114540,114580,114200,113940
SI032,322260,324830,326930,327690,327960,329690
SI033,70670,70670,70930,70660,70670,70660
SI034,255940,257390,258670,258770,259390,261090
SI035,57100,57050,57220,56940,56960,57270
SI036,75490,75800,76080,75760,75770,75960
SI037,143510,144670,146040,145930,146470,147380
SI038,52360,52810,53160,53280,53420,53950
SI041,544470,552140,555530,555630,557040,564190
SI042,203760,205690,208110,211570,210810,209280
SI043,117460,117990,118570,118400,118240,118340
SI044,114190,115600,117020,118530,118460,118780
