NUTS3;Year;GDP;NUTS_ID;CNTR_CODE
Pomurska;2018;1714.79;SI031;SI
Podravska;2018;5711.45;SI032;SI
KoroÅ¡ka;2018;1228.79;SI033;SI
Savinjska;2018;5034.07;SI034;SI
Zasavska;2018;662.09;SI035;SI
Posavska;2018;1235.06;SI036;SI
Jugovzhodna Slovenija;2018;3097.1;SI037;SI
Primorsko-notranjska;2018;820.78;SI038;SI
Osrednjeslovenska;2018;17025.49;SI041;SI
Gorenjska;2018;4016.53;SI042;SI
GoriÅ¡ka;2018;2332.28;SI043;SI
Obalno-kraÅ¡ka;2018;2584.01;SI044;SI
Pomurska;2019;1791.01;SI031;SI
Podravska;2019;6089.02;SI032;SI
KoroÅ¡ka;2019;1294.15;SI033;SI
Savinjska;2019;5315.07;SI034;SI
Zasavska;2019;702.4;SI035;SI
Posavska;2019;1339.86;SI036;SI
Jugovzhodna Slovenija;2019;3335.08;SI037;SI
Primorsko-notranjska;2019;841.79;SI038;SI
Osrednjeslovenska;2019;18122.11;SI041;SI
Gorenjska;2019;4255.17;SI042;SI
GoriÅ¡ka;2019;2426.6;SI043;SI
Obalno-kraÅ¡ka;2019;2644.2;SI044;SI
Pomurska;2020;1761.02;SI031;SI
Podravska;2020;5904.84;SI032;SI
KoroÅ¡ka;2020;1234.08;SI033;SI
Savinjska;2020;5051.07;SI034;SI
Zasavska;2020;700.26;SI035;SI
Posavska;2020;1334.24;SI036;SI
Jugovzhodna Slovenija;2020;3251.47;SI037;SI
Primorsko-notranjska;2020;815;SI038;SI
Osrednjeslovenska;2020;18055.11;SI041;SI
Gorenjska;2020;3906.35;SI042;SI
GoriÅ¡ka;2020;2307.8;SI043;SI
Obalno-kraÅ¡ka;2020;2417.46;SI044;SI
Pomurska;2021;1934.22;SI031;SI
Podravska;2021;6612.37;SI032;SI
KoroÅ¡ka;2021;1326.49;SI033;SI
Savinjska;2021;5617.57;SI034;SI
Zasavska;2021;758.75;SI035;SI
Posavska;2021;1431.52;SI036;SI
Jugovzhodna Slovenija;2021;3472.51;SI037;SI
Primorsko-notranjska;2021;932.04;SI038;SI
Osrednjeslovenska;2021;20394.81;SI041;SI
Gorenjska;2021;4325.56;SI042;SI
GoriÅ¡ka;2021;2571.52;SI043;SI
Obalno-kraÅ¡ka;2021;2645.27;SI044;SI
Pomurska;2022;2123.17;SI031;SI
Podravska;2022;7216.84;SI032;SI
KoroÅ¡ka;2022;1492.78;SI033;SI
Savinjska;2022;6223.99;SI034;SI
Zasavska;2022;837.48;SI035;SI
Posavska;2022;1619.16;SI036;SI
Jugovzhodna Slovenija;2022;3710.23;SI037;SI
Primorsko-notranjska;2022;993.71;SI038;SI
Osrednjeslovenska;2022;21810.95;SI041;SI
Gorenjska;2022;4978.51;SI042;SI
GoriÅ¡ka;2022;2813.1;SI043;SI
Obalno-kraÅ¡ka;2022;3088.86;SI044;SI
Pomurska;2023;2319.81;SI031;SI
Podravska;2023;8086.23;SI032;SI
KoroÅ¡ka;2023;1606.98;SI033;SI
Savinjska;2023;6816.96;SI034;SI
Zasavska;2023;942.48;SI035;SI
Posavska;2023;1878.45;SI036;SI
Jugovzhodna Slovenija;2023;4004.3;SI037;SI
Primorsko-notranjska;2023;1063.87;SI038;SI
Osrednjeslovenska;2023;25144.48;SI041;SI
Gorenjska;2023;5493.01;SI042;SI
GoriÅ¡ka;2023;3217.25;SI043;SI
Obalno-kraÅ¡ka;2023;3377.43;SI044;SI
