interval_from,interval_to,no2_B0_min,no2_B0_max,no2_B0_mean,no2_B0_stDev,no2_B0_sampleCount,no2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,1.2166790838818997e-05,3.524143903632648e-05,2.302982091555708e-05,7.2299153178317554e-06,65536,64347,NUTS_SL_01m_2024.shp,SI,2018,April,4
2018-05-01,2018-06-01,7.084099138410238e-07,5.896808215766214e-05,2.2156967459971902e-05,8.888418447060522e-06,65536,48694,NUTS_SL_01m_2024.shp,SI,2018,May,5
2018-06-01,2018-07-01,-7.313522587537591e-07,5.544632949749939e-05,2.5957360037549286e-05,9.387778101028264e-06,65536,51692,NUTS_SL_01m_2024.shp,SI,2018,June,6
2018-07-01,2018-08-01,3.82196640202892e-06,5.518964462680742e-05,2.8039988150333352e-05,6.670872296067839e-06,65536,36664,NUTS_SL_01m_2024.shp,SI,2018,July,7
2018-09-01,2018-10-01,-1.4307333913166076e-05,4.990354136680253e-05,1.997463729675409e-05,1.0329655740435917e-05,65536,31777,NUTS_SL_01m_2024.shp,SI,2018,September,9
2018-10-01,2018-11-01,-3.964540610468248e-06,7.960617949720472e-05,2.860526009480371e-05,1.2249070124951895e-05,65536,43523,NUTS_SL_01m_2024.shp,SI,2018,October,10
2018-12-01,2019-01-01,-1.8156852092943154e-05,0.00010284154996043071,4.3887768222782306e-05,2.382502246193797e-05,65536,49207,NUTS_SL_01m_2024.shp,SI,2018,December,12
2019-01-01,2019-02-01,9.577950550010428e-06,8.960538252722472e-05,2.9324711411691867e-05,1.4485426691178973e-05,65536,63607,NUTS_SL_01m_2024.shp,SI,2019,January,1
2019-02-01,2019-03-01,1.6714784578653052e-05,7.180608372436836e-05,4.433259351799285e-05,1.3148804062498575e-05,65536,63712,NUTS_SL_01m_2024.shp,SI,2019,February,2
2019-03-01,2019-04-01,-1.1570649803616107e-05,0.00012869392230641097,2.7102147535607313e-05,1.4868266879806719e-05,65536,31739,NUTS_SL_01m_2024.shp,SI,2019,March,3
2019-04-01,2019-05-01,2.4912682420108467e-05,2.4912682420108467e-05,2.4912682420108467e-05,0.0,65536,65474,NUTS_SL_01m_2024.shp,SI,2019,April,4
2019-05-01,2019-06-01,1.9132776287733577e-05,4.9327456508763134e-05,3.3812575829164307e-05,6.55727539535229e-06,65536,63745,NUTS_SL_01m_2024.shp,SI,2019,May,5
2019-06-01,2019-07-01,-1.4301393775895122e-06,6.853285594843328e-05,2.303337928007266e-05,8.530910570490977e-06,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,June,6
2019-07-01,2019-08-01,-1.3431940715236124e-05,5.02732909808401e-05,1.817736004825e-05,1.1059115942100212e-05,65536,50709,NUTS_SL_01m_2024.shp,SI,2019,July,7
2019-08-01,2019-09-01,-3.571226443455089e-06,6.277732609305531e-05,2.5560335539540874e-05,8.098720051540228e-06,65536,38649,NUTS_SL_01m_2024.shp,SI,2019,August,8
2019-09-01,2019-10-01,-1.527223162156588e-06,6.919854786247015e-05,3.470128516891765e-05,1.170315463809029e-05,65536,47427,NUTS_SL_01m_2024.shp,SI,2019,September,9
2019-10-01,2019-11-01,3.7809227251273114e-06,4.990083471057005e-05,2.5233468065848342e-05,1.0525838135762269e-05,65536,62800,NUTS_SL_01m_2024.shp,SI,2019,October,10
2019-11-01,2019-12-01,2.597868842713069e-06,0.0001229796325787902,5.921350012529598e-05,1.8700826587646878e-05,65536,50413,NUTS_SL_01m_2024.shp,SI,2019,November,11
