interval_from,interval_to,o3_B0_min,o3_B0_max,o3_B0_mean,o3_B0_stDev,o3_B0_sampleCount,o3_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,0.14933456480503082,0.1576702892780304,0.1525902034218468,0.0024022063329926548,65536,63093,NUTS_SL_01m_2024.shp,SI,2018,April,4
2018-05-01,2018-06-01,0.13729074597358704,0.1498083621263504,0.14396257762760123,0.0025151462784220343,65536,31731,NUTS_SL_01m_2024.shp,SI,2018,May,5
2018-06-01,2018-07-01,0.14392560720443726,0.15535762906074524,0.15079584857439335,0.002363046982021811,65536,31731,NUTS_SL_01m_2024.shp,SI,2018,June,6
2018-07-01,2018-08-01,0.1376889944076538,0.14408361911773682,0.1402961957394727,0.0008667562207298277,65536,31731,NUTS_SL_01m_2024.shp,SI,2018,July,7
2018-08-01,2018-09-01,0.13483968377113342,0.14064644277095795,0.13728267723337367,0.0008361919374217174,65536,38616,NUTS_SL_01m_2024.shp,SI,2018,August,8
2018-09-01,2018-10-01,0.12282624840736389,0.13062132894992828,0.12689947177167268,0.0012472643872601477,65536,31731,NUTS_SL_01m_2024.shp,SI,2018,September,9
2018-10-01,2018-11-01,0.12705571949481964,0.13199101388454437,0.12971424864975004,0.0008203197664445809,65536,31731,NUTS_SL_01m_2024.shp,SI,2018,October,10
2018-11-01,2018-12-01,0.13065843284130096,0.13620305061340332,0.13310259008192382,0.0008964240380262077,65536,31731,NUTS_SL_01m_2024.shp,SI,2018,November,11
2018-12-01,2019-01-01,0.14342954754829407,0.15370024740695953,0.1484332031420643,0.001795764925598288,65536,31731,NUTS_SL_01m_2024.shp,SI,2018,December,12
2019-01-01,2019-02-01,0.1751841902732849,0.18702711164951324,0.1803245870628188,0.002586585528403409,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,January,1
2019-02-01,2019-03-01,0.13014180958271027,0.13419148325920105,0.13229745577738505,0.0010699892479587123,65536,63517,NUTS_SL_01m_2024.shp,SI,2019,February,2
2019-03-01,2019-04-01,0.15792153775691986,0.16641904413700104,0.16203673436010174,0.0014327275791948064,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,March,3
2019-04-01,2019-05-01,0.15552425384521484,0.16924060881137848,0.1604651171504132,0.0029096353252790496,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,April,4
2019-05-01,2019-06-01,0.14859254658222198,0.16166892647743225,0.1558396048494525,0.00307174121834165,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,May,5
2019-06-01,2019-07-01,0.14112557470798492,0.14784586429595947,0.14469040818220472,0.001063693945742977,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,June,6
2019-07-01,2019-08-01,0.13441762328147888,0.14490754902362823,0.14000487756295207,0.0016900309525450122,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,July,7
2019-08-01,2019-09-01,0.12731057405471802,0.13785520195960999,0.13185504396415634,0.0013186985565543695,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,August,8
2019-09-01,2019-10-01,0.12160485237836838,0.1260814517736435,0.12348388836080898,0.0007698597760000506,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,September,9
2019-10-01,2019-11-01,0.13134650886058807,0.14172960817813873,0.1359560304338839,0.0016535067675471089,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,October,10
2019-11-01,2019-12-01,0.11665095388889313,0.12961448729038239,0.12234866072455003,0.0021656447419286127,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,November,11
2019-12-01,2020-01-01,0.13491632044315338,0.14243768155574799,0.13894244155496333,0.0013286115730909754,65536,31731,NUTS_SL_01m_2024.shp,SI,2019,December,12
2020-01-01,2020-02-01,0.13330484926700592,0.1394955813884735,0.13686746152401894,0.0011587604403477097,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,January,1
2020-02-01,2020-03-01,0.13014604151248932,0.14023545384407043,0.13570708074022583,0.0014709274469109452,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,February,2
2020-03-01,2020-04-01,0.18087667226791382,0.19500765204429626,0.18924580215790696,0.0018305583637504893,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,March,3
2020-04-01,2020-05-01,0.1519528180360794,0.16016048192977905,0.15556886385969967,0.001251627708080723,65536,41028,NUTS_SL_01m_2024.shp,SI,2020,April,4
2020-05-01,2020-06-01,0.14886732399463654,0.15977126359939575,0.1548822791380497,0.001968296714891849,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,May,5
2020-06-01,2020-07-01,0.13213813304901123,0.14243212342262268,0.138794419533526,0.0016513943164360198,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,June,6
2020-07-01,2020-08-01,0.12689970433712006,0.13727743923664093,0.13226971085114533,0.0016325851898877546,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,July,7
2020-08-01,2020-09-01,0.13525575399398804,0.14240707457065582,0.13902000421612662,0.0011665433850768208,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,August,8
2020-09-01,2020-10-01,0.12124810367822647,0.12926168739795685,0.12550327210600207,0.001340620786467052,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,September,9
2020-10-01,2020-11-01,0.12227797508239746,0.12881706655025482,0.12565989526898746,0.0010503897866428373,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,October,10
2020-11-01,2020-12-01,0.1283654272556305,0.1354527324438095,0.13162895224271107,0.001242888233771882,65536,31731,NUTS_SL_01m_2024.shp,SI,2020,November,11
2020-12-01,2021-01-01,0.14702443778514862,0.1528460830450058,0.14953908574869432,0.001246045121596094,65536,62807,NUTS_SL_01m_2024.shp,SI,2020,December,12
2021-01-01,2021-02-01,0.15718944370746613,0.1669718474149704,0.1612402099981026,0.0018319822511271792,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,January,1
2021-02-01,2021-03-01,0.13110579550266266,0.1559792011976242,0.1444266709476679,0.0045972065180228784,65536,40525,NUTS_SL_01m_2024.shp,SI,2021,February,2
2021-03-01,2021-04-01,0.14659860730171204,0.15709027647972107,0.15236417055614776,0.001686628695025168,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,March,3
2021-04-01,2021-05-01,0.1516558825969696,0.16518260538578033,0.15965970233424487,0.00232501786787275,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,April,4
2021-05-01,2021-06-01,0.15366362035274506,0.16978228092193604,0.1631184963018235,0.0032186602508738013,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,May,5
2021-06-01,2021-07-01,0.13978084921836853,0.15225666761398315,0.14553405958957813,0.0019408528107507763,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,June,6
2021-07-01,2021-08-01,0.1331988275051117,0.14238467812538147,0.13805006409763546,0.001547414219780147,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,July,7
2021-08-01,2021-09-01,0.14358249306678772,0.15593653917312622,0.1507442019312297,0.0019249047283826136,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,August,8
2021-09-01,2021-10-01,0.13113728165626526,0.13686037063598633,0.13410530847710506,0.0011543316456058177,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,September,9
2021-10-01,2021-11-01,0.12242961674928665,0.12967370450496674,0.12650130215335306,0.0016181217076275027,65536,60015,NUTS_SL_01m_2024.shp,SI,2021,October,10
2021-11-01,2021-12-01,0.13823658227920532,0.1515672504901886,0.14491635825820542,0.0028907340849292544,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,November,11
2021-12-01,2022-01-01,0.11974602192640305,0.12630701065063477,0.12347270234694205,0.0009797797989902584,65536,31731,NUTS_SL_01m_2024.shp,SI,2021,December,12
2022-01-01,2022-02-01,0.16144075989723206,0.17160309851169586,0.16513717907576445,0.0014248739801331499,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,January,1
2022-02-01,2022-03-01,0.16476623713970184,0.19629892706871033,0.18157026390760725,0.006998796338270927,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,February,2
2022-03-01,2022-04-01,0.1616101711988449,0.16945426166057587,0.16503261983958958,0.0013154358072849938,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,March,3
2022-04-01,2022-05-01,0.15597409009933472,0.1665123701095581,0.15973056503088753,0.0016303273890679812,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,April,4
2022-05-01,2022-06-01,0.151492640376091,0.16063980758190155,0.15679331187127274,0.0017028474139589042,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,May,5
2022-06-01,2022-07-01,0.1342465877532959,0.1441294550895691,0.13954263393421704,0.0017515090282696532,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,June,6
2022-07-01,2022-08-01,0.13643832504749298,0.1471555531024933,0.14089194945048814,0.0023194022036900595,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,July,7
2022-08-01,2022-09-01,0.13213086128234863,0.14094489812850952,0.13647915173712352,0.001597058414874744,65536,31985,NUTS_SL_01m_2024.shp,SI,2022,August,8
2022-09-01,2022-10-01,0.13619956374168396,0.14607174694538116,0.14077799063588503,0.0012847846498149902,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,September,9
2022-10-01,2022-11-01,0.11694011837244034,0.12356102466583252,0.12024496097441062,0.0011633230543025726,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,October,10
2022-11-01,2022-12-01,0.1344192773103714,0.14701905846595764,0.14182879574384225,0.0025352161729914643,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,November,11
2022-12-01,2023-01-01,0.13279815018177032,0.14528508484363556,0.1381697930892591,0.0024691133375984403,65536,31731,NUTS_SL_01m_2024.shp,SI,2022,December,12
2023-01-01,2023-02-01,0.13758830726146698,0.1491524875164032,0.14437019268959683,0.0016920015668709172,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,January,1
2023-02-01,2023-03-01,0.1418178677558899,0.16444408893585205,0.14958074850419628,0.003033642774086441,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,February,2
2023-03-01,2023-04-01,0.14449797570705414,0.1538029909133911,0.14876462826493037,0.0013618343892684973,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,March,3
2023-04-01,2023-05-01,0.14513655006885529,0.1574980914592743,0.15135115908414337,0.0021292937218540713,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,April,4
2023-05-01,2023-06-01,0.14501693844795227,0.15319480001926422,0.1493165690810565,0.0013107676233598303,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,May,5
2023-06-01,2023-07-01,0.13563172519207,0.14546754956245422,0.14090096612483302,0.0016341959218197433,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,June,6
2023-07-01,2023-08-01,0.1416497677564621,0.15397371351718903,0.14895280097216995,0.0018304092400098222,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,July,7
2023-08-01,2023-09-01,0.13702982664108276,0.14731933176517487,0.14319504140229627,0.0018435238349906666,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,August,8
2023-09-01,2023-10-01,0.12222371250391006,0.12923739850521088,0.12559834136709602,0.0011503315497832687,65536,31867,NUTS_SL_01m_2024.shp,SI,2023,September,9
2023-10-01,2023-11-01,0.13981682062149048,0.15646027028560638,0.14684030931432718,0.002846427653582141,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,October,10
2023-11-01,2023-12-01,0.1319224089384079,0.13942234218120575,0.1349113439895612,0.0010319315931293423,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,November,11
