interval_from,interval_to,so2_B0_min,so2_B0_max,so2_B0_mean,so2_B0_stDev,so2_B0_sampleCount,so2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,-0.0010527933482080698,0.003575257956981659,0.0015383686614864377,0.0011814700811182011,65536,63971,NUTS_SL_01m_2024.shp,SI,2018,April,4
2018-05-01,2018-06-01,-0.0009105098433792591,0.0008576486143283546,2.4373275176427945e-05,0.0002612192452121804,65536,42959,NUTS_SL_01m_2024.shp,SI,2018,May,5
2018-06-01,2018-07-01,-0.0009367582388222218,0.0011588428169488907,7.465263967659663e-05,0.00037222891123867084,65536,47932,NUTS_SL_01m_2024.shp,SI,2018,June,6
2018-07-01,2018-08-01,-0.0009306580177508295,0.0011710218386724591,5.6483611464246235e-05,0.00027587123741432563,65536,32140,NUTS_SL_01m_2024.shp,SI,2018,July,7
2018-08-01,2018-09-01,-0.0014842983800917864,0.0020331447012722492,0.0002598181062661495,0.0011677339649068784,65536,65219,NUTS_SL_01m_2024.shp,SI,2018,August,8
2018-09-01,2018-10-01,-0.0014888199511915445,0.0034714387729763985,0.0004299641265878332,0.0008709368663603342,65536,32078,NUTS_SL_01m_2024.shp,SI,2018,September,9
2018-10-01,2018-11-01,-0.001499432255513966,0.00288333254866302,0.00015387322262832185,0.000732557445364366,65536,38982,NUTS_SL_01m_2024.shp,SI,2018,October,10
2018-12-01,2019-01-01,-0.0014942933339625597,0.015240353532135487,0.0018699148754787469,0.0024888220665552382,65536,46399,NUTS_SL_01m_2024.shp,SI,2018,December,12
2019-01-01,2019-02-01,-0.001370235695503652,0.0031401319429278374,0.0002700158872190861,0.0009892263924218062,65536,63457,NUTS_SL_01m_2024.shp,SI,2019,January,1
2019-02-01,2019-03-01,-0.0014946939190849662,0.010512449778616428,0.0013170931691423493,0.0030412352315663453,65536,64103,NUTS_SL_01m_2024.shp,SI,2019,February,2
2019-03-01,2019-04-01,-0.0014569576596841216,0.002791138831526041,0.0002845308491950576,0.0007890223782666164,65536,32506,NUTS_SL_01m_2024.shp,SI,2019,March,3
2019-05-01,2019-06-01,-0.0005067416350357234,0.0005608195788227022,-1.735649430078586e-06,0.0002198165907983535,65536,59049,NUTS_SL_01m_2024.shp,SI,2019,May,5
2019-06-01,2019-07-01,-0.0014994919765740633,0.001518819946795702,-0.00016346548594539515,0.0005599674405802788,65536,32193,NUTS_SL_01m_2024.shp,SI,2019,June,6
2019-07-01,2019-08-01,-0.0011410271981731057,0.0013229143805801868,0.00012502610598152787,0.00039575724953140915,65536,46601,NUTS_SL_01m_2024.shp,SI,2019,July,7
2019-08-01,2019-09-01,-0.0010394242126494646,0.0013091658474877477,2.9617336298650807e-05,0.0003109890302001681,65536,35647,NUTS_SL_01m_2024.shp,SI,2019,August,8
2019-09-01,2019-10-01,-0.0014641523594036698,0.005760342814028263,0.00040551421218219027,0.0012403964696802528,65536,47268,NUTS_SL_01m_2024.shp,SI,2019,September,9
2019-10-01,2019-11-01,-0.0014294437132775784,0.0033878711983561516,0.00022183155958129867,0.0009070208069926872,65536,62231,NUTS_SL_01m_2024.shp,SI,2019,October,10
2019-11-01,2019-12-01,-0.001487567089498043,0.005888913292437792,0.0006616888761406387,0.0014623310491351943,65536,51654,NUTS_SL_01m_2024.shp,SI,2019,November,11
2019-12-01,2020-01-01,-0.0014769885456189513,0.01159573346376419,0.003325223775212512,0.00322110669239551,65536,57094,NUTS_SL_01m_2024.shp,SI,2019,December,12
2020-01-01,2020-02-01,0.0005078972899354994,0.00468220142647624,0.003251968355998682,0.001148413720367718,65536,65405,NUTS_SL_01m_2024.shp,SI,2020,January,1
2020-02-01,2020-03-01,-0.0014049840392544866,0.004656707867980003,0.00019929179567412396,0.0008655902196936116,65536,51285,NUTS_SL_01m_2024.shp,SI,2020,February,2
2020-03-01,2020-04-01,-0.0011969764018431306,0.002095852978527546,8.042724674827908e-05,0.000509215873429989,65536,42467,NUTS_SL_01m_2024.shp,SI,2020,March,3
2020-04-01,2020-05-01,-0.0013903295621275902,0.00788026861846447,0.0006333654450631994,0.0014685259312349121,65536,58533,NUTS_SL_01m_2024.shp,SI,2020,April,4
2020-05-01,2020-06-01,-0.0006849769852124155,0.0009196084574796259,0.00014866409829496495,0.00027552834265101215,65536,62008,NUTS_SL_01m_2024.shp,SI,2020,May,5
2020-06-01,2020-07-01,-0.0012921754969283938,0.0014698294689878821,0.00011532828976108098,0.00042038857159833426,65536,43638,NUTS_SL_01m_2024.shp,SI,2020,June,6
2020-07-01,2020-08-01,-0.0011433332692831755,0.0009395339293405414,6.096168981456781e-06,0.0003277501934069349,65536,49463,NUTS_SL_01m_2024.shp,SI,2020,July,7
2020-09-01,2020-10-01,-0.0014523513382300735,0.0026830409187823534,0.00025426189465415017,0.0006793452414676726,65536,36500,NUTS_SL_01m_2024.shp,SI,2020,September,9
2020-10-01,2020-11-01,-0.0014997321413829923,0.008506551384925842,0.0009652053418870959,0.0016272793727219498,65536,39710,NUTS_SL_01m_2024.shp,SI,2020,October,10
2020-11-01,2020-12-01,-0.0013564818073064089,0.011504286900162697,0.002119883034777878,0.002324542775193776,65536,60326,NUTS_SL_01m_2024.shp,SI,2020,November,11
2021-02-01,2021-03-01,-0.0014756536111235619,0.01173956785351038,0.0013964869431649146,0.002058489014779394,65536,45469,NUTS_SL_01m_2024.shp,SI,2021,February,2
2021-03-01,2021-04-01,-0.0014803558588027954,0.002885283902287483,0.00028472722565929,0.0007645770585343548,65536,32342,NUTS_SL_01m_2024.shp,SI,2021,March,3
2021-04-01,2021-05-01,-0.0014242929173633456,0.001470280229113996,-9.772673433330672e-06,0.00036555594617171297,65536,55624,NUTS_SL_01m_2024.shp,SI,2021,April,4
2021-05-01,2021-06-01,-0.0014910363825038075,0.0010137568460777402,1.9668405819075036e-05,0.0002468749636510347,65536,52946,NUTS_SL_01m_2024.shp,SI,2021,May,5
2021-06-01,2021-07-01,-0.0013662230921909213,0.00126276642549783,-4.916339982824631e-05,0.00042740846690477244,65536,33803,NUTS_SL_01m_2024.shp,SI,2021,June,6
2021-07-01,2021-08-01,-0.001405417686328292,0.0014596679247915745,-6.575406295729866e-05,0.00044124452845407513,65536,39281,NUTS_SL_01m_2024.shp,SI,2021,July,7
2021-08-01,2021-09-01,-0.001380575937218964,0.0015525911003351212,-5.0001034797753456e-05,0.00046709539295001817,65536,41431,NUTS_SL_01m_2024.shp,SI,2021,August,8
2021-09-01,2021-10-01,-0.0009786346927285194,0.00226825219579041,5.2120871807566685e-05,0.0005815767947052318,65536,55677,NUTS_SL_01m_2024.shp,SI,2021,September,9
2021-10-01,2021-11-01,-0.0010881411144509912,0.015794532373547554,0.0022707044765342874,0.003610222379907113,65536,64050,NUTS_SL_01m_2024.shp,SI,2021,October,10
2021-11-01,2021-12-01,-0.0014894804917275906,0.008977685123682022,0.0018493262966940906,0.0023950502532235655,65536,60268,NUTS_SL_01m_2024.shp,SI,2021,November,11
2021-12-01,2022-01-01,-0.0014988851035013795,0.011879823170602322,0.001920658844557159,0.0026914718786280106,65536,54555,NUTS_SL_01m_2024.shp,SI,2021,December,12
2022-02-01,2022-03-01,-0.0014874214539304376,0.003853989765048027,0.00015718269560156201,0.0008655031927844689,65536,45426,NUTS_SL_01m_2024.shp,SI,2022,February,2
2022-04-01,2022-05-01,-0.0013956116745248437,0.0016394368140026927,-2.2752009856498987e-05,0.0005318808434878698,65536,32562,NUTS_SL_01m_2024.shp,SI,2022,April,4
2022-05-01,2022-06-01,-0.0014583808369934559,0.0012788537424057722,-1.65901022662188e-05,0.000343775510293273,65536,43285,NUTS_SL_01m_2024.shp,SI,2022,May,5
2022-06-01,2022-07-01,-0.0007538663921877742,0.0012608057586476207,3.128556291775519e-05,0.0002656187575917545,65536,41588,NUTS_SL_01m_2024.shp,SI,2022,June,6
2022-07-01,2022-08-01,-0.001077155233360827,0.0010942032095044851,4.739488996846818e-05,0.0004173921815869046,65536,52412,NUTS_SL_01m_2024.shp,SI,2022,July,7
2022-08-01,2022-09-01,-0.0014312448911368847,0.0017801239155232906,8.091571680360998e-05,0.0006485674920393727,65536,59559,NUTS_SL_01m_2024.shp,SI,2022,August,8
2022-09-01,2022-10-01,-0.0014624901814386249,0.002247313968837261,7.102856375574585e-05,0.000717867699311221,65536,59272,NUTS_SL_01m_2024.shp,SI,2022,September,9
2022-10-01,2022-11-01,-0.001484809210523963,0.006954988930374384,0.0009095169526610246,0.0014457977080665151,65536,40065,NUTS_SL_01m_2024.shp,SI,2022,October,10
2022-12-01,2023-01-01,-0.0014931777259334922,0.013068943284451962,0.002872904973211127,0.0030856341266971487,65536,49849,NUTS_SL_01m_2024.shp,SI,2022,December,12
2023-01-01,2023-02-01,-0.0014916303334757686,0.006084340158849955,0.00044027294765258993,0.0011967911212662093,65536,38757,NUTS_SL_01m_2024.shp,SI,2023,January,1
2023-03-01,2023-04-01,-0.001144992420449853,0.0011928485473617911,0.00014928818491171075,0.000666178266063404,65536,65066,NUTS_SL_01m_2024.shp,SI,2023,March,3
2023-04-01,2023-05-01,-0.0005830592126585543,0.0008600106230005622,5.300088832201426e-05,0.00021215039250193626,65536,55178,NUTS_SL_01m_2024.shp,SI,2023,April,4
2023-05-01,2023-06-01,-0.0006954361451789737,0.0006368531612679362,-1.2890056766727744e-05,0.0002802226219387313,65536,62654,NUTS_SL_01m_2024.shp,SI,2023,May,5
2023-06-01,2023-07-01,-0.0014596243854612112,0.00133585836738348,-6.119714829996773e-05,0.0004347645553503021,65536,33415,NUTS_SL_01m_2024.shp,SI,2023,June,6
2023-07-01,2023-08-01,-0.0014455188065767288,0.001871107262559235,9.665152860028676e-05,0.0004279052808933948,65536,44207,NUTS_SL_01m_2024.shp,SI,2023,July,7
2023-08-01,2023-09-01,-0.0011865696869790554,0.0013269605115056038,-2.039070119320823e-05,0.00039888880994756525,65536,46798,NUTS_SL_01m_2024.shp,SI,2023,August,8
2023-09-01,2023-10-01,-0.0014932441990822554,0.006268225610256195,0.00046217866780753333,0.0014488596238536084,65536,53483,NUTS_SL_01m_2024.shp,SI,2023,September,9
2023-10-01,2023-11-01,-0.0014927053125575185,0.005153514910489321,0.00022926214762743059,0.0009929322673086537,65536,55405,NUTS_SL_01m_2024.shp,SI,2023,October,10
2024-02-01,2024-03-01,-0.0012632579309865832,0.007911873050034046,0.0015683471921525104,0.0020198792561393307,65536,63592,NUTS_SL_01m_2024.shp,SI,2024,February,2
2024-03-01,2024-04-01,-0.0010508025297895074,0.0028276771772652864,0.00018614942456768384,0.0009392897601157787,65536,63870,NUTS_SL_01m_2024.shp,SI,2024,March,3
2024-04-01,2024-05-01,-0.0013994353357702494,0.00586507236585021,0.00022004604358370598,0.0007296050371553708,65536,32234,NUTS_SL_01m_2024.shp,SI,2024,April,4
2024-05-01,2024-06-01,-0.0014972951030358672,0.0013753927778452635,-1.674720305410868e-05,0.00039377000216697726,65536,57917,NUTS_SL_01m_2024.shp,SI,2024,May,5
2024-06-01,2024-07-01,-0.001220067497342825,0.0014193422393873334,2.3602200652734034e-05,0.0004499153171011513,65536,42977,NUTS_SL_01m_2024.shp,SI,2024,June,6
2024-07-01,2024-08-01,-0.00146850838791579,0.0016666592564433813,-8.078622659434009e-05,0.0006090282848879587,65536,32278,NUTS_SL_01m_2024.shp,SI,2024,July,7
2024-08-01,2024-09-01,-0.0014833365567028522,0.002658566227182746,0.00011409297126700147,0.0007200006838279277,65536,34309,NUTS_SL_01m_2024.shp,SI,2024,August,8
2024-09-01,2024-10-01,-0.0014988260809332132,0.004328795708715916,0.0005377113048742507,0.001043065867792095,65536,34789,NUTS_SL_01m_2024.shp,SI,2024,September,9
