,NUTS_ID,year,month,NO2,SO2,CO,O3,HCHO,PM25,GDP,population,GDP_per_capita,O3_quality,CO_quality,NO2_quality,SO2_quality,PM25_quality,HCHO_quality,season,PM25_weighted_quality,NO2_weighted_quality,O3_weighted_quality,SO2_weighted_quality,CO_weighted_quality,HCHO_weighted_quality,Index,Country,GDP_Normalized,GDP_per_capita_min,GDP_per_capita_max,Air_Inequity_Index
2880,SI031,2018,1,2.903929530548702,46.18,0.030617265,0.1833422657870744,0.43,12.43882,1714790000,114750,14943.703703703704,4,4,1,1,2,1,Winter,0.8,0.25,0.4,0.12,0.24,0.07,1.8800000000000003,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.5600411409835258
2881,SI031,2018,2,2.771536682079752,27.94,0.031739465,0.131078625,2.7,10.94681,1714790000,114750,14943.703703703704,3,4,1,1,2,1,Winter,0.8,0.25,0.30000000000000004,0.12,0.24,0.07,1.7800000000000002,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.4770602292290829
2882,SI031,2018,3,1.4103252674780855,9.62,0.038444872,0.164007135,3.26,11.41676,1714790000,114750,14943.703703703704,4,4,1,1,2,1,Spring,0.72,0.22,0.6,0.12,0.28,0.08,2.02,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.6762144174397455
2883,SI031,2018,4,1.1055844319203507,9.32,0.033510393,0.1491173511262784,18.53,21.383,1714790000,114750,14943.703703703704,3,4,1,1,4,4,Spring,1.44,0.22,0.44999999999999996,0.12,0.28,0.32,2.8299999999999996,SI,0.8298091175444284,11595.271453590192,31269.840395246756,2.348359802650732
2884,SI031,2018,5,0.9503062733171816,2.14,0.031204336,0.1481406441137515,3.54,18.67725,1714790000,114750,14943.703703703704,3,4,1,1,3,1,Spring,1.08,0.22,0.44999999999999996,0.12,0.28,0.08,2.2300000000000004,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.8504743321240757
2885,SI031,2018,6,1.2211766371641304,2.29,0.027989801,0.1536514273689626,4.73,17.59102,1714790000,114750,14943.703703703704,4,3,1,1,3,1,Summer,0.75,0.15,1.2,0.05,0.30000000000000004,0.15,2.6,SI,0.8298091175444284,11595.271453590192,31269.840395246756,2.157503705615514
2886,SI031,2018,7,1.3109920516853353,1.39,0.030193696,0.1400392643387571,4.69,15.57331,1714790000,114750,14943.703703703704,3,4,1,1,3,1,Summer,0.75,0.15,0.8999999999999999,0.05,0.4,0.15,2.4,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.9915418821066282
2887,SI031,2018,8,0.972652682,13.67,0.044933308,0.1385890287119064,4.85,19.8351,1714790000,114750,14943.703703703704,3,4,1,1,3,1,Summer,0.75,0.15,0.8999999999999999,0.05,0.4,0.15,2.4,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.9915418821066282
2888,SI031,2018,9,1.0414776929163232,2.45,0.029921301,0.1260672367305558,2.81,16.59949,1714790000,114750,14943.703703703704,3,3,1,1,3,1,Autumn,1.0499999999999998,0.23,0.44999999999999996,0.12,0.21000000000000002,0.08,2.1399999999999997,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.7757915115450766
2889,SI031,2018,10,1.5102784611594424,6.75,0.029732506,0.1298716598398331,1.09,18.83745,1714790000,114750,14943.703703703704,3,3,1,1,3,1,Autumn,1.0499999999999998,0.23,0.44999999999999996,0.12,0.21000000000000002,0.08,2.1399999999999997,SI,0.8298091175444284,11595.271453590192,31269.840395246756,1.7757915115450766
