date_from,date_to,region_code,region_name,pollutant,value_mean,value_min,value_max,value_stdev,sample_count,no_data_count,data_mask_valid_count,unit,source,aggregation_interval,quality_status
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI031,Pomurska,NO2,4.031e-05,2.822e-05,5.845e-05,1.008e-05,350,12,338,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI031,Pomurska,NO2,3.609e-05,2.526e-05,5.232e-05,9.02e-06,337,9,328,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI031,Pomurska,NO2,3.06e-05,2.142e-05,4.438e-05,7.65e-06,419,7,412,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI031,Pomurska,NO2,2.331e-05,1.632e-05,3.38e-05,5.83e-06,388,6,382,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI031,Pomurska,NO2,2.259e-05,1.582e-05,3.276e-05,5.65e-06,409,24,385,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI031,Pomurska,NO2,1.832e-05,1.282e-05,2.656e-05,4.58e-06,286,22,264,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI031,Pomurska,NO2,1.718e-05,1.203e-05,2.492e-05,4.3e-06,419,18,401,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI031,Pomurska,NO2,1.945e-05,1.362e-05,2.82e-05,4.86e-06,336,19,317,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI031,Pomurska,NO2,2.119e-05,1.483e-05,3.073e-05,5.3e-06,281,29,252,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI031,Pomurska,NO2,2.664e-05,1.865e-05,3.863e-05,6.66e-06,320,27,293,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI031,Pomurska,NO2,3.24e-05,2.268e-05,4.698e-05,8.1e-06,335,29,306,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI031,Pomurska,NO2,3.994e-05,2.796e-05,5.791e-05,9.98e-06,366,8,358,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI032,Podravska,NO2,5.614e-05,3.93e-05,8.14e-05,1.403e-05,368,24,344,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI032,Podravska,NO2,5.001e-05,3.501e-05,7.252e-05,1.25e-05,347,30,317,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI032,Podravska,NO2,4.403e-05,3.082e-05,6.385e-05,1.101e-05,311,17,294,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI032,Podravska,NO2,3.471e-05,2.43e-05,5.033e-05,8.68e-06,300,22,278,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI032,Podravska,NO2,2.908e-05,2.036e-05,4.217e-05,7.27e-06,372,23,349,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI032,Podravska,NO2,2.637e-05,1.846e-05,3.824e-05,6.59e-06,329,27,302,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI032,Podravska,NO2,2.432e-05,1.702e-05,3.526e-05,6.08e-06,354,7,347,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI032,Podravska,NO2,2.547e-05,1.783e-05,3.693e-05,6.37e-06,339,8,331,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI032,Podravska,NO2,2.991e-05,2.094e-05,4.337e-05,7.48e-06,373,10,363,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI032,Podravska,NO2,3.943e-05,2.76e-05,5.717e-05,9.86e-06,374,16,358,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
